5675	0	127804	1444135	NR	kefko	9/27/05 6:33 PM	1.12784598E12	budget gaming pc	budget build gaming computer battlefield halflife those good games anyone ideas help meet budget
5675	1	127804	1444237	1444135	ikjadoon	9/27/05 7:07 PM	1.12784802E12	hey hey hey	hi youve come right place hundreds users help plenty newegg perfect site lets go case case thermaltake goodthe tsunami models look really cool plenty open slots heard good reviews keep psuthats fine power id go ultrax motherboard asus nsli premium hands down save few bucks go deluxe instead premium buy refurbished newegg processor amd memory gb corsair hard drive gb sata samsung segate wd cddvd sony dvd burner simple floppy needed sound cardinternal pretty good video card gt wait days atis cards probably faster ok need monitors keyboards mice speakers lighting god forgetting got dollars ok lets upgrade bring video gt bring cpu go double memory bring gb
5675	2	127804	1444239	1444237	ikjadoon	9/27/05 7:07 PM	1.12784802E12	nt nt basis perfect	NIL
5675	3	127804	1444284	1444237	nerdyboy1234	9/27/05 7:26 PM	1.12784916E12	gb ram good	go dfi lanparty nforce mobo instead case suggest aspire thermaltake instead getting processor stick instead go nvidia gt good powersupply antec enermax etc least watts use powersupply comes case
5675	4	127804	1448382	1444284	ikjadoon	9/29/05 6:38 PM	1.12801908E12	asus	idk looked great pcs asus nforce seem opinion ibrahim
5675	5	127804	1449248	1444135	enorbet	9/30/05 7:28 AM	1.12806528E12	good timing	hello subject line sort double entendre chosen opportune time upgrade industry cycles timing synchronization many timing related resources pcs crucual ferrari tune look great welltuned vw might beat industry cycles good fortune every often extremely fundamental changes occur such pci bus beginning beat mca vlb eeisa contenders main bus connect peripherals presently multiple fundamental hardware resources their protocols poised change pci express almost de rigeur motherboards replaces pci agp bus bit cpus dual core cpus locked wave future bus speeds rise must memory bus appears ddr least short term successor sata hard drives cdroms dvds fact everything going serial parallel ata bus played cannot muster speedbandwidth limiting greatest pc bottleneck hard drive interface scsi going serial why talking cutting edge technologies asking build budget pc best deals technologies steps removed bleeding edge especially those technologies forms essentially dead ends provide huge savings important examples parallel ideata hard drives various cpu interfaces such socket socket cul de sacs especially important despite their dead end status technolgies replacing yet truly beneficial few games yet written take full advantage directx rest industry hardware software yet catch support continue many years yet arent throwing money down rathole suffocate mice budget gaming machine simply cannot beat amds bit offerrings nothing brand name loyalty accross board gaming benchmarks simple widely accepted fact sort evolution despite uhh jury being given price point amds bit cpus kick everything elses butt bother taking names least gaming ratcheted notch sempron coming bit cpus under actually under search great deals especially mind rebate hassle build extremely competitive brand name component pc including case power supply motherboard ram video card hard drives cpu under important upgrade comes nvidia where single card keep pace sli many most places where counts gaming especially noteworthy motherboard support eat themselves particularly good example respectable budget gaming pc complete benchmarks appears months maximum pc magazine right possibly years yet major changes pc design possible save fantastic amounts money while getting great pc upgrade path left considering example safe bet high quality agp video cards continue made sold despite their dead end nature few years yet same said parallel ata drives special low cents gig realize possible pay gig regular basis consider plus rigs commonplace math unreasonable amount hope buy serious quality buying top brand names excluded means great time upgrade whether go budget jimmy
5675	6	127804	1449549	1449248	Brianstech	9/30/05 9:01 AM	1.12807086E12	wow jimmy impressed	darn hurt sound good tempted dump gaming rigs start fresh while technology machines almost years old keep latest trends upgrading afford wellwritten report makes consider idea selling start build frenzy good work keep
5675	7	127804	1450584	1449248	ozos	9/30/05 6:07 PM	1.12810362E12	um mind jump	thought already replied thread post prompts lot reply desire farcry halflife doom quake engine itself able however set few others utilize directx full extent sm fp thats nv card atis radeon series support sm fp being released agp possibly nu type model gtx staying pcie radeon xt being released agp why those cards targetted enthusiast market enthusiast market means pcie smp done yet legitmate benchmark single beating pair decent nv nv sli eat over buying mb us per closer fast enough take down pair gts ultras benchmarks fillrate few select games inable utilize sli technology able win yet point comparison single single nv socket costs motherboard compatable ramcpu socket ever socket nowhere near phased amds professional grade cpu interface designed run toe toe intels pga along itanium competes admirably socket bad idea single channel ram lack upgradeability terms cpu dual core aint gonna happen nowhere near being amds roadmaps socket however life left designed value series socket amd releasing socket next year introduces ddr athlon single implementation ddr desktop system nearproduction solution such thing ddr lot life current battle costs latencies down rambus xdr viable contender next spot de facto standard ram provides downright head turning performance hardware side industry moving beyond directx point microsoft releasing directx windows vista dx avliable public beta ii recall correctly dvd cdrom drives going sata isnt gain speed pata being abandoned sata provides few benefits terms connection hotpluggable most statements things lasting long time wrong industry moving amazingly fast catch move ahead software world hardware wise things level beyond current needs thats were basically waiting few major releases such microsofts windows vista ataris engine software amazingly long devolopment cycles going scratch mention most software advances point going stop correcting post pointed most blatant errors anything beyond waste time talking almost everything saying trying write school paper suggesting him cut off his upgrade cycle options saves him spending less having entirely rebuild year catch crap spend extra ready futureits idea
5675	8	127804	1450587	1448382	ozos	9/30/05 6:08 PM	1.12810368E12	asus produce nforce	nvidia asus produces motherboards uses nforce chipset few yes nvidia nforce excellent chipset
5675	9	127804	1452921	1450587	ikjadoon	10/2/05 9:15 AM	1.1282445E12	lol	haha sry knew thati really typo
5675	10	127804	1452930	1450584	ikjadoon	10/2/05 9:24 AM	1.12824504E12	hmcooked combination	cyberpower inc setup xcrusier midtower window display fan control neon lights psu fan control amd nsli nforce mb pc nvidia gt gb hdd sata lg dvdrrw cdrrw dual layer pci modem mouse keyboard flash card reader floppy xp pro year warranty total cost should last long time heard many good reviews company over maximum pc price without shippingtax ibrahim
5675	11	127804	1453018	1452930	xtuser	10/2/05 10:46 AM	1.12824996E12	dualcorebad gaming	replace change gt gtx money left overthis neweggcom change gb hdd wd raptor raid thats gonna pretty cool machine
5675	12	127804	1453067	1444135	Retheesh	10/2/05 11:24 AM	1.12825224E12	budget gaming good video card	budget gaming system gonna need good video card geforce gt higher everything else search net cheap high quality parts audio card motherboard audio should fine go older cpus athlon xp early pentium stay away celerontrust gb ram plenty xp doesnt take full advantage ram above mb quality power supply motherboard keep free hardware problems doesnt matter case buy long hard drives optical drives matter keep case cool spend money good keyboard mouse speakersheadphones increase gaming experience buy stuff cpu matches socket motherboard video card compatible motherboard
