10161	0	334601	3002029	NR	michaelpoet	3/14/09 7:40 AM	1.2370164E12	Magic Jack telepnone	Has anyone ever tryed Magic Jack telephone on a pc?? Does it work and how well????? michael
10161	1	334601	3002191	3002029	mopscare42	3/14/09 10:45 AM	1.2370275E12	I know someone who tried it.	He gave up on it after a short time. He thought he could save a few bucks on LD so bought their pitch from TV. He said sometimes it would take 2 or 3 minutes before he could even call out. Not good for 911 calls. They tried 3 different phones. He also said the line was noisy most of the time. He has Comcast 16/2 internet with an SNR of 38.4 so it sure wasn't his connection. He pulled the unit out and tossed it in the trash. This is just one case, but it sure kept me from getting a &quot;Magic Jack&quot;
10161	2	334601	3002323	3002029	nofret	3/14/09 1:25 PM	1.2370371E12	magic jack telephone	Hi. I got one. Easy to install and it works! I`m the sceptics sceptic and I thought `no way dude`. My only issue is due to the fact that I live in Canada. They give you a list of area codes, choose your # and thats it. I was told that soon, Canadian area codes will be available. Now for the hardest part; Cutting my land line! Plus, I just call forward to my cell. Damn thing really works. Go figure?
10161	3	334601	3002327	3002029	ahtoi	3/14/09 1:32 PM	1.23703752E12	From what I understand;	Don't use it as your primary phone services or you might be sorry. You could probably still save money if you do lots of casual toll or long distance calling.
10161	4	334601	3005608	3002029	nofret	3/18/09 1:28 PM	1.23738288E12	Magic Jack	I guess I got lucky with mine. I have it hooked up to my touchsmart pc. in the kitchen.
10161	5	334601	3007238	3002029	axekick	3/20/09 6:29 PM	1.23757374E12	They are ify at best	I have a friend who calls me across the country on one. He actually purchased five of them!(all for his home). He swears by the things but I often have trouble deciphering what he is saying when he talks, it is an odd type of distortion that I do not know how to describe. Kind of sounds as if the sound waves are passing through water at times. Other times, it works nearly flawlessly but I would not use it as a primary telephone service.
10161	6	334601	3007246	3007238	cargut	3/20/09 6:37 PM	1.23757422E12	Magic Jack working	I have one for a while allready it works goood for me. The only problem I see is yhat you have to keep you computer running all the time if you want your house phone working, otherwise transfer the calls to your cell phone. I think it is a good deal for the money you pay for it. It will be a good idea if they get it to work off the omputer, direct to the internet line like Vonage is doing, that way you don't have to keep your computer running if you are no using it.
10161	7	334601	3007265	3002029	Rob Kish	3/20/09 6:40 PM	1.2375744E12	Magic Jack	I've had one for about 6 months and it works great, no complaints whatsoever. Reception has been very clear but it does seem to work better with some phones than others. I have the highest speed cable modem which might help. Using on a Vista HP laptop. Again, on some phones, entering data from the phone, e.g., a credit card number, can be unreliable. Seems to work better with a 2.4 Mghz phone than a 5.8. It was worth the money, that's for sure. It's paid for itself in long distance calls many times over.
10161	8	334601	3007302	3002029	mema72560	3/20/09 7:18 PM	1.23757668E12	magic jack	sure do and it works great! have had mine about a year love it, it doesn't work to good if you use you're pc while on the phone, highly recomend it to everyone who does't want to pay long distance bills
10161	9	334601	3007303	3007265	Popa41	3/20/09 7:20 PM	1.2375768E12	Works for me...	I've had mine for about six months now. Never had a problem with it. Everyone I talk to on it says the sound quality is excellent. From what I can gather from the complaints people have, I've come to (2) conclusions: either they are using lousy phones, or have lousy internet service. I use a wired phone on mine. Have toyed with the idea of using a wireless but haven't gotten around to it yet. My internet service is excellent. So there you are, the (2) variables. Let me say this. I'm paying $16 dollars a month for local phone service from AT&T. They then charged me $10 a month for (2) hours of long distance service EVERY month, whether I used (2) hours or not (which I don't). So I dropped the long distance service from AT&T and use the Magic Jack for long distance service only. Since I paid $30 for the Magic Jack on e-bay and I've had the thing for (6) months, I'm already money ahead. Would I use it as my primary phone, NEVER. But for long distance service, it's a winner.
10161	10	334601	3007354	3002029	ozark123	3/20/09 8:04 PM	1.23757944E12	magic Jack works great for me	I ordered one. It arrived in a few days. Install was easy although instructions were virtually non existent. It works good, as good as or better than much pricier VOIP products I have used in the past. One word of caution: you apparently need pretty good bandwidth. If I am down loading a large file while speaking on the phone on occasion I loose my phone connection. All and all I am very pleased. In my opinion it is a real bargain.
10161	11	334601	3007406	3002029	prberg	3/20/09 9:40 PM	1.2375852E12	Magicjack is cool!	Hi, Here is my magicjack experience. I've had it for about 6 months. I'm pretty happy with it. You do have to factor in the cost... you do get what you pay for. The sound quality, customer service, and reliability are not as good as a land line. But for me it's good enough.. I just cancelled my land line a few weeks ago (I do have a cell phone too). Calls sound good most of the time. I had an old laptop lying around so I made that my 'magicjack' computer. I can leave it on and it doesn't use much power. I did read something about it cutting off your calls after an hour (then you have to call the person back again). But overall I'm satisfied.
10161	12	334601	3007447	3002029	Ddskidog	3/20/09 10:49 PM	1.23758934E12	Magic Jack	Bought one - been as happy as can be with it.. Just like a true landline - just don't reboot your computer while on the phone.
10161	13	334601	3007450	3002029	richchrono	3/20/09 11:05 PM	1.2375903E12	Had it. Tossed it.	It was hit and miss for me. Worked sometimes, not others. XP or Vista didn't seem to matter. Sound quality was hit and miss, too. A few months into service, the voicemail stopped working. If I didn't answer, the caller would get a voice that said &quot;Goodbye&quot;... click! They never did get it working. When it came time to re-up for another year, I trashed it.
10161	14	334601	3007526	3002029	jimwest-franklin	3/21/09 4:13 AM	1.23760878E12	MagicJack	I tried it and just sent it back. I think it would have worked very well, but for my type of connection, wireless @ 2 Meg down and 450 K upload. My signal bounces off of a neighbor's grain bin and then is sent on to the city, 8 miles away. It dialed numbers correctly and they answered, but could not hear me and all I heard was them cutting in and out rapidly. I really wanted it to work but it didn't. Their tech support worked with me for a good 45 minutes before giving up. As soon as I plugged it into the USB port, it immediately set itself up correctly without any help from me. I was told if I used a cordless phone, it had to be 6 feet away from the computer, and the dongle had to be plugged directly into the PC, and not a hub. Good luck.
10161	15	334601	3007663	3002191	Don Rogerson	3/21/09 7:42 AM	1.23762132E12	Majic Jack	It's great .. Easy to install .. easy to use .. I'm happy with it!
10161	16	334601	3007787	3002029	john3347	3/21/09 11:28 AM	1.23763488E12	Not what it is advertised	Like so many other things, my experience is MUCH less than what is advertised. Voice quality is inconsistent, sometimes good - sometimes terrible; never excellent. Voice mail sometimes just does not work. Have spent total of a few hours with tech support trying to make service consistent. Finally they just offered me a refund, which I declined because I need the phone for the occasions that i will be on the phone for an extended period of time (calls to public utilities, etc.). I have since purchased a second MagicJack so friends in another state can call me as though I were still local to them. (MagicJack is regularly adding service in new areas) If you have reliable cell phone service or wired home phone, MagicJack can be a suitable auxiliary, special use phone, but not reliable enough for one's primary phone. In summation, while the unique service is worth $20/year to me as an auxiliary phone it, unfortunately, does not replace a reliable home phone.
10161	17	334601	3007941	3002029	SassyBratty40	3/21/09 3:14 PM	1.23764844E12	I love magic jack	I have had magicjack for 2 years now and love it !!! It has a local area code and call forwarding,voicemail,threeway,caller id and free 411 it also has many many more features and I got mine for 59.95 for 5 years !! I bought 3 for my use,1 for home and 1 for my office and 1 for my daughter's room,Fax machines work great also with magicjack and each magic jack has there own phone number!!!I have cable internet and leave my computer online all the time in sleep mode,You only need a live internet for this to work,It will not work with dial-up service! I have had no trouble at all with this magicjack and ordered 1 for my sister and she instantly disconnected her AT&T phone service,She loves it!It also updates when newer magicjack services are put out for the magicjack..any more questions email me at SassyBratty40@gmail.com.
