2013	0	561919	5304431	NR	Lee Koo (ADMIN)	4/27/12 3:44 PM	1.33554144E12	poll home survive using tablet main computer	home survive using tablet main computer yes task perform why unsure
2013	1	561919	5304474	5304431	Doh_1	4/27/12 5:40 PM	1.3355484E12	working home good tablet	ipad use vpn work through work day need applications word etc arent available ipad need lot typing good ipad ipad certain amount internet surfing read respond email doesnt require typing play games watch tv shows movies things involve lot typing ipad doesnt call writing long letter need use application ipad yes lot routine stuff ipad enjoy using ipad great graphics theres lot ipad
2013	2	561919	5304468	5304431	tedtks	4/27/12 5:46 PM	1.33554876E12	poll	clue nor value obtaining tabletipadand iphone deaf phone texting maybe
2013	3	561919	5304494	5304431	gunnerds	4/27/12 6:07 PM	1.33555002E12	home survive using tablet main	simple answer use monitors time email web search web sites same time tab each browser window per screen game check web page game same time tablet never work
2013	4	561919	5304478	5304431	Ron Geiken	4/27/12 6:35 PM	1.3355517E12	tablet main computer	own tablet never own ability consume produce content tablet suited toward consumption desktop ghz effectively cores gig ram terabyte hard drive pad dual core processor gig ram gig storage products same zip code course true tablets effective people admirable job tasks really pad might work personally kind driving powerful driving low powered cylinder car might where going difference getting tablets thrive many applications where best solution main computer most people likely case
2013	5	561919	5304498	5304431	john3347	4/27/12 7:13 PM	1.33555398E12	never	simply use never force myself learn use pictures keys keyboard use netbook compact portable computer completely satisfied anything anything desktop computer example office installed same word processor desktop home interact remotely desktop battery powered remote computer tablet fine child plays his toy ideal anybody who uses computers
2013	6	561919	5304532	5304431	MouseTheLuckyDog	4/27/12 8:09 PM	1.33555734E12	NIL	need hard drive capacity desktop anything else however time desktops become personal cloud servers where rarely actually sit computer things role taken over supersmart terminals tablets laptops
2013	7	561919	5304544	5304431	netsiu	4/27/12 8:44 PM	1.33555944E12	voted yes could wont	observed everything desk lap net book computer smart phone pad difference every thing stored off device means phone especially pad cloud computing storage means monthly payments somebody control stuff price few hard drives ocassional replacement same fill desktop life worry lose use ever purpose
2013	8	561919	5304525	5304431	ESUNintel	4/27/12 9:19 PM	1.33556154E12	maybe	tablet mean ios android youre including windows tablets yes love ipad everything mention work playing around samsung series local microsoft store gb ram ssd core survive
2013	9	561919	5304516	5304431	KittyLurking	4/27/12 10:12 PM	1.33556472E12	way	writing image editing using tablet pain sometimes plain impossible need achieve often download movies connect laptop tv watch isnt possible tablet nor transferring movie flash drive might possible tablets none popular ones ipadkindle firenook tablet use tablet browse internet bed read books play games watch videos good use couldnt imagine being primary computer
2013	10	561919	5304557	5304431	Frederic Gallice	4/28/12 12:16 AM	1.33557216E12	home survive using tablet ma	hi simply use pc laptop developping using applications under access word excel graphics home builder etc guess tablet able cope needs best regards thanks good work
2013	11	561919	5304618	5304431	goodgenie4u	4/28/12 5:29 AM	1.33559094E12	tablet main computer	most famous tablet cast stone top mountain ten commandments were meant followed meant world place before got box keeper moses discovered his customers displayed needs simple tablet good enough he dashed broke civil law humans realize work progress goes computing networking day tablet evolve device makes laptops look primitive suspect cloud computing take care functionality missing days trade off desktops electrical mechanical robustness work horse power easy upgrade repair travel laptops next best travel tablets specially tablets work progress
2013	12	561919	5304649	5304431	Boothbay	4/28/12 6:40 AM	1.3355952E12	poll says say	wonder why selling hot cakes especially economy demand caused tablets mainly ipad ridiculous price range limited product guess people their toys
2013	13	561919	5304671	5304431	maldelus	4/28/12 6:53 AM	1.33559598E12	wifi ability	use wifi enabled devices conflict staff systems resident care giving
2013	14	561919	5304691	5304431	donhamilton	4/28/12 7:13 AM	1.33559718E12	cannot use tablet comfortly	age eyesight sharp need inch monitor
2013	15	561919	5304692	5304431	pebarefoot	4/28/12 7:59 AM	1.33559994E12	read tablet	need tall letters read quite yet monitor desktop spend time scrolling back forth trying train dragon dragon naturally speaking cell phones forget waay small read emergencies dial number need memory way read address book
2013	16	561919	5304773	5304478	FromDora	4/28/12 1:31 PM	1.33561986E12	quite righttablets bit heavy complete mobility	agree take complete mobility tablets bit heavy side yet couldnt bring myself buy experience virtual keyboard bought netbook years ago hardly however owned psion over ten years great satisfaction until complete breakdown anyone tell connect external minidvd unit tablet transfer videos take jpourney sd card
2013	17	561919	5304807	5304431	iamdrd	4/28/12 1:37 PM	1.33562022E12	dvd burning	regularly burn dvds easy possible ipad generation use quad core laptop burning dvds few things use ipads ipod touch everything else apple products easier enjoyable use while windows computers flexible retired electronic engineer personal computers were introduced before unix based main frames pcs assembly language dos windows enjoy using windows ios tried linux operating systems prefer windows ios
2013	18	561919	5304845	5304431	hifly.liu	4/28/12 3:44 PM	1.33562784E12	diablo iii main issue	tablet pc use mere gpu independent gpu due power saving issue how game addicted user trust coming diablo iii played tablet pc small screen handy keyboard mouse poor speaker minor issue biggest problem poor graphic performance least setting effect tablet pc suit meeting bus traveling situation home tablet pc takes chance replace desktop pc
2013	19	561919	5304956	5304557	FromDora	4/29/12 2:00 AM	1.3356648E12	good point case too	good point case too
2013	20	561919	5305023	5304431	Rick Gill	4/29/12 5:12 AM	1.33567632E12	surviving tablet	hello approximately percent need few apps capabilities yet available via ipad must laptop instance rationale argument mapping ihmc cmap tools concept mapping tools social network analysis sna tools esoteric stuff admit things working nonetheless
