163	0	12105	137974	NR	cfagan	2/16/04 11:06 AM	1.07692956E12	how print screen pc mac keyboard	pc mac keyboard print screen button pc wont screen grab way around
163	1	12105	138006	137974	R. Proffitt	2/16/04 11:35 AM	1.0769313E12	rehow print screen pc mac keyboard	subwebaddr many replacement programs allow change hotkey feature
163	2	12105	1183651	138006	ramb0	5/11/05 8:08 PM	1.11584208E12	great answer	ridiculous answer why must waste peoples time
163	3	12105	1183992	137974	mrmacfixit	5/12/05 4:34 AM	1.11587244E12	print screen	tried print screen works combinations keyboards things print screen key actually key either keyboard pc marked print screen mac go ahead try usual pc key combination using key print screen theoretically should capture screen allow paste text document let us works
163	4	12105	1183994	138006	mrmacfixit	5/12/05 4:37 AM	1.11587262E12	answer	how answer fits scheme things bob
163	5	12105	1183998	1183994	R. Proffitt	5/12/05 4:42 AM	1.11587292E12	please supply	answer fits scheme things worth poster posted pc question mac forum supplied google finds replacement programs cure issue feel answer right supply right answer gt point forum full members flaming each others answers keep how forums work give answer let choose however butt find answer cause issues such total data loss bob
163	6	12105	1185035	1183998	mrmacfixit	5/12/05 3:40 PM	1.1159124E12	glad	feel necessary rebuke milder question answer user posted question gone unanswered pc forum supplying correct answer before got annoyed wrong person
163	7	12105	1185145	1185035	R. Proffitt	5/12/05 4:55 PM	1.1159169E12	build community	assured panning replies need mac help around cheers bob
163	8	12105	1230876	137974	taboma.	6/7/05 9:25 PM	1.1181795E12	cut quick screen printing	mac keyboard hold down apple command key plus shift key press numeral marquie cross hairs place crosshair marquie drag over image hear faint click camera shutter image placed desktop pdf file osx dpi hard drive os hold down apple command key plus shift key press numeral full screen shot saved hard drive usually listed picture file forth thats how done mac difficult pc mac keyboard nice question why use mac keyboard pc place doesnt pc pulldown menu print screen why use keyboard kevin
163	9	12105	1250086	1183651	jgwill	6/17/05 10:07 PM	1.11904602E12	second great answer	yeah ridiculous answer supposed time people who found answer give source their discovery step ignorance someone who how thing anyways enough second language level searching same answer noncomunicative people off cheers
163	10	12105	1250490	1250086	R. Proffitt	6/18/05 7:00 AM	1.119078E12	rile	offered alternative answer could need help future paving road properly bob
163	11	12105	2228057	137974	MasterOfNone	9/26/06 10:56 AM	1.15926816E12	simple workaround xp users	feel pain use boot camp dual boot xp os run issues quite bit go accessoriesaccessability start menu select onscreen keyboard give print screen button click mouse using onscreen keyboard change active window grab window
163	12	12105	2261872	137974	nico4k	10/12/06 12:59 PM	1.16065794E12	solution	january todd miller using apple pro usb keyboard windows machine found way remap keys act windows print screen scroll lock break functions his method involves creating text registry information use apple brand usb keyboard usb kvm switch control macs pc works great except missing print screen key mac sends instead print screen came across registry edit map their pc counterparts tested windows machine should work xp allows user press mac keyboard windows receive print screen command instead follow instructions order map keys apple usb keyboard functions print screen scroll lock break commonly found pc keyboards pc copy following lines text file regedit hkeylocalmachinesystemcurrentcontrolsetcontrolkeyboard layout scancode map hex rename text file remapreg double click file remapreg answer yes question adding information registry reboot function keys remapped their pc equivalents
163	13	12105	2328564	2228057	andybot2000	11/21/06 5:51 PM	1.16413146E12	exactly needed	thanks posting real solution helped ton
163	14	12105	2489979	2228057	tauntonlake	5/18/07 5:58 AM	1.17946788E12	perfect	sentiments exactly macbook dual windows boot longest time could keyboard combinations print screen onscreen keyboard solution perfect never known hadnt seen post thank simple solution
163	15	12105	2495573	1183992	bri17213	5/24/07 8:21 PM	1.18003806E12	print screen	NIL
163	16	12105	2495714	2495573	mrmacfixit	5/25/07 4:54 AM	1.18006884E12	nt spare could sell	NIL
163	17	12105	2495727	2495573	R. Proffitt	5/25/07 4:56 AM	1.18006896E12	read entire discussion	alternatives were offered along tips bob
163	18	12105	2495886	1230876	bri17213	5/25/07 9:01 AM	1.18008366E12	subwebaddr	how find apple key
163	19	12105	2496591	137974	zeffii	5/26/07 2:26 AM	1.18014636E12	ok really stuck	havent found default remap printscreen key yet meantime startgtrungt type osk gt hit enter pops onscreenkeyboard us printscreen often beside psc key kinda miss spaces between grouped keys most things take getting familiar overcome
163	20	12105	2496592	2496591	zeffii	5/26/07 2:29 AM	1.18014654E12	sorry	failed last comments thanks regedit
163	21	12105	2501436	2228057	HonouredMatre	5/31/07 10:19 AM	1.18060674E12	print screen using macbook keyboard	masterofnone reply how print screen pc mac keyboard cfagan go accessoriesaccessability start menu select onscreen keyboard give print screen button click mouse using onscreen keyboard change active window grab window tried suggested worked fine except captured onscreen keyboard tried active window capture clicking alt key didnt work workaround use screen capture feature paint package program doing moment little longwinded never thought id miss simple effective key combination quicker easier must doing something wrong way using macbook difference anything thought id mention anyway suggestions pointers where might going wrong id extremely grateful try hm
