6140	0	134334	1514715	NR	drmusic45	11/3/05 1:59 PM	1.13102634E12	advantages sata	beyond data transfer rate advantages using sata hard drive over ultraata
6140	1	134334	1514825	1514715	R. Proffitt	11/3/05 3:13 PM	1.13103078E12	less wires	many years ago before sata available attended intel design conference sata being forwarded way reduce cable setup costs bob
6140	2	134334	1525109	1514825	whizkid	11/8/05 3:14 PM	1.13146284E12	cables speed list goes	cables mm wide goes mbps basically way ataide
6140	3	134334	1525127	1525109	R. Proffitt	11/8/05 3:26 PM	1.13146356E12	where mbps drives	look tomshardwarecom current drives duke sata ide trade lead positions please share web links mbps drives bob
6140	4	134334	1527811	1525127	whizkid	11/9/05 6:36 PM	1.13156136E12	sites	along field sites sataii support mbps might megabits instead megabytes
6140	5	134334	1530487	1514715	TonyGore	11/11/05 2:43 AM	1.13167698E12	origins sata etc	original idea put together late based links high speed serial interconnect transputer inmos made disk processor prupose second generation links eventually basic technology adopted became firewire standard version standardised spacewire ieee original idea cut down cable size connectors anything reliability reliability approximately imversely proportional number connections over car breakdowns were due electrical faults most were connector problems
6140	6	134334	1530784	1527811	kt_leohart	11/11/05 6:17 AM	1.13168982E12	thought mbs sata mbs sata ii	never seen says mbs yet link aside wire speed controversial realworld performance similar between things sata hotswapping native command queueing
6140	7	134334	1530999	1514715	RDFly	11/11/05 7:47 AM	1.13169522E12	ultraata vs sata	mbs vs mbs burst rate average data rates atleast half speed difference right big best advantages come cables themselves cables small allowing airflow case connecting drive sata doesnt share cables seperate connection each drive ultraata connected drives share cables configured master slave cause speed issues accessing drives sata cables noise canceling longer length several improvements sata scalable ultraata result wont standards ultraata sata future bottom line good ultraata drive meets storage needs need upgrade otherwise id recommend getting sata
6140	8	134334	1531192	1514715	mmmark	11/11/05 9:26 AM	1.13170116E12	experiance	built pc sata thiner wire quiet way go default drivers etc weird look device manager kind crosslinked thing speed data transfer unbelievably fast updated everything bios motherboard chipset everything else could find looks normal device manager lucky above ata speeds
6140	9	134334	1531533	1514715	franknemec	11/11/05 11:55 AM	1.1317101E12	support raid controllers	thats expectation something youre using raid redundancy help future data migration modern motherboards often ide sata controllers sata disks likely find way devices connected within reach cables
6140	10	134334	1532391	1514715	msgale	11/11/05 8:09 PM	1.13173974E12	slightly off topic	really performance why use rpm scsi drives maybe either raid raid should blow socks off sata
6140	11	134334	1532867	1514715	kal9000	11/12/05 6:01 AM	1.13177526E12	main advantages sata	few advantages sata over ide sata cables thinner longer thus effectively improving airflow ease handlingneatnessflexibility computer sata drives jumper cables meaning fussing masterslavecable select settings sata transfer rates generally higher speed sata handles raid most important sata drives supposedly hotplugging hotswapping meaning plugandunplug while computer running most motherboards support sata provide external connectors power data need use sata drive different computers usb external drives provided main drive system installed course brings us sata advantage over external drives need separate power supply use different computers list longer definitely long enough sata way go regards
6140	12	134334	1533036	1532391	fos_maj947	11/12/05 8:28 AM	1.13178408E12	sata raid	solid mobo support sata hds raid give best worldswithout greater chance failure performance good those high spindle speed rates
6140	13	134334	1536337	1532391	ackmondual	11/14/05 7:32 AM	1.13195352E12	cons rpm hds	hd generates heat course needs dissipated noise annoying uses electricity ll show bill require ensure psu handle sata own pros too alr mentioned else price factor steer away sata
6140	14	134334	1536361	1514715	ackmondual	11/14/05 7:42 AM	1.13195412E12	considerations	yeah many modern mobos provide sata ide connections sata offered marginal performance increase over ide hear sata tech getting thatll way go however ide stick really aint worth upgrade fo sata instead switch major upgrade many months ago choice gb sata hd over gb ide same price posters overwhelmingly suggested latter citing extra capacity good
