13641	0	243798	2463895	NR	Clevermetal	4/19/07 12:25 AM	1.1769423E12	core duo actually proccessors	core duo mean bit intel processors mean bit processor
13641	1	243798	2464020	2463895	Coryphaeus	4/19/07 5:10 AM	1.1769594E12	nt	NIL
13641	2	243798	2464013	2463895	R. Proffitt	4/19/07 5:15 AM	1.1769597E12	longer answer	core duo thoroughly documented question answer simply yes thought however noted bit id add caveat bit feature core duo units wont double check might solidly core duo lineup check feature list em cpu looking bob
13641	3	243798	2465805	2463895	genotypewriter	4/21/07 4:31 AM	1.17712986E12	yes	depends who ask operating system probably different processors scheduling tasks however physically different processors goes same socket quite cores share same cache different multiple physical cpus hope helpful
13641	4	243798	2466172	2463895	william551	4/21/07 10:36 AM	1.17715176E12	guess	thats same technology memory alternating current wave down wave old memory functioned wave say mhz found could double making down wave function too thats why laymans guess cpu technology followed suit memory technology thats why slower processor speeds yet supposedly faster output processors working twice hard appearing processors really working down signals
13641	5	243798	2466177	2466172	william551	4/21/07 10:46 AM	1.17715236E12	wonder though how around os specific	problems piping cpu gets bit strings certain length bit bit divided operating system without piping way data garble each string needs header body footer work networking signals bit processor youre going need bit operating system bit long strings header body footer core vague definition bit processor bit strings parallel instead long bit seems were going multiple processored system youd separate processors instead piling cooling purposes simplicity babbling
13641	6	243798	2466195	2466177	william551	4/21/07 10:51 AM	1.17715266E12	continue babble	drunk bar college napkin wrote crazy equation involving speed light miles per second figured processor size inches gigahertz itd take breach mile per second barrier ask how sober somehow figured max processor speed somewhere around gigahertz wonder strange things happen processors power spikes cpu farts thats why newer processors slower
13641	7	243798	2466212	2466195	plasmaman	4/21/07 11:28 AM	1.17715488E12	babble babble correct answer babble	cpu frequency poor value use computations calculation speed currently dominated factors cache bus speeds etc proper value monitor number operations per second known flops supercomputers work scale teraflops petaflops running around world years correct discussion youre off few orders magnitude average distance electrical signal needs travel between junctions cpu less microns cm call speed light cms frequency approximated cd comes half terahertz ghz limited circuitry sizes fact prototype terahertz cpus developed places los alamos national labs cpu developers begin break micron barrier nanometerscales circuitry able petahertz circuitry ie ghz youre back envelope probably little clouded beer yeast hopefully good beer
13641	8	243798	2466216	2466212	plasmaman	4/21/07 11:45 AM	1.1771559E12	way	electrical conduction speeds speed light limit little lower oversimplified estimate
13641	9	243798	2466591	2463895	rsrupert	4/21/07 9:43 PM	1.17719178E12	yes	processors same processor slot processors processors same socket really dual core processors same die share cache havent looked close price
13641	10	243798	2466875	2466212	william551	4/22/07 9:44 AM	1.17723504E12	yup	broke talking barrier thanks info
