4977	0	37826	443403	NR	halvaro	9/22/04 4:05 PM	1.0958691E12	WD40??????????	Hi I would like to know what is WD40 , sorry I am from Mexico maybe it is aproduct i don't know.
4977	1	37826	443430	443403	Ray Harinec	9/22/04 4:24 PM	1.09587024E12	It's a light oil/lubricant. Ususally in a spray can.	Can get it in any hardware store. A very common product.
4977	2	37826	443686	443430	Coryphaeus	9/23/04 6:22 AM	1.09592052E12	Trivia. . .	The 40 is how many attempts they tried before this final formula. True fact. I forget what the WD stands for.
4977	3	37826	443711	443686	billzhills	9/23/04 6:41 AM	1.09592166E12	(NT) (NT) Re: Water displacement	NIL
4977	4	37826	443715	443403	Willy	9/23/04 6:46 AM	1.09592196E12	Re: WD40??????????	WD40, is an oil based product commonly used to prevent rust or simple lubrication like hindges, bolts, sliding parts, etc.. Similar products are LPV, Marvel oil, CRC, or Liquid Wrench. FYI -Orginally used to prevent rust on Atlas rockets/parts in storage. Hope this helps... -----Willy
4977	5	37826	446542	443715	reipph	9/24/04 11:48 AM	1.09602648E12	Re: WD40??????????	I am sorry my friend, but WD40 does not prevent rusts but it does help in slowing down rust formation. Metals by nature rusts, especially iron. WD40 adheres to the surface but not within (deep penetration action). The surface may not have rust on it, but how about the inside. WD40 in layman's term is a lubricant, especially created or manufactured through research to remove the squeaking sound (but not always) from stucked or rusted door hinges or any assembly thereto. It also helps in un-bolting stucked bolts and nuts, helps dries up wet car distributors, etc.. WD40 became so popular that many car owners and people fond of doing some fixing have it. There is one brand though better than WD40, and they claim that they are the only ones approved by NASA in lubricating the Space Shuttle program carrier though more expensive. I do not want to name the brand though else, I might be mistaken for advertising.
4977	6	37826	447294	446542	Willy	9/24/04 8:03 PM	1.09605618E12	Re: WD40??????????	I stand by my orginal post... Long before became WD40 popular it was used as a rust preventor or &quot;inhibiter&quot; on stored rocket parts. Since these parts were and since usually a one time use, it became important to maintain thier integerty. It also didn't attack common componets at the time and upon evaporating its reside wasn't harmful or became a problem. It's use became so popular amongest the engineers it was later developed as it has become known for private use. Its orginal use wasn't as a lubricant but as I stated. Of course it has became a multi-purpose use since, whether it orginal chemical makeup is the same as that used for rocket protection I'm unsure of. -----Willy
4977	7	37826	447302	446542	Willy	9/24/04 8:10 PM	1.0960566E12	WD40...history link	http://www.wd40.com/AboutUs/our_history.html In conjunction with my earlier post and this link should explain things far better than I from memory. Hope this helps -----Willy
4977	8	37826	448517	447302	reipph	9/25/04 3:11 PM	1.09612506E12	Re: WD40...history link	Got your point. You are absolutely correct. Thanks!
4977	9	37826	448520	446542	John Robie	9/25/04 3:13 PM	1.09612518E12	Aww....come on now tell us	what brand name is approved by NASA and better than WD-40. You won't be spamming or advertising unless you are employed by the company and then that will be debatable used in the context of this discussion. I have heard and could it be a product from the X-IR corporation that produces also a gun lub/cleaner, or the VCI Vapor corrosion inhibitor with their numerour spray types labeled NOX-RUST, or perhaps Bullfrog (Bullrog) Rust Blocker approved by the Navy and used by the Military and NASA? Please tell us.
4977	10	37826	448529	447302	John Robie	9/25/04 3:25 PM	1.0961259E12	Where would I be without my Duct Tape, Hay Baling Wire,	Liquid Wrench, and WD-40. A absolute honest true story: Years ago when I had a 1940's era auto, the right front tire rod (ball socket connected to steering of right front wheel) fell off dragging on the ground. Came to a halt as just couldn't steer properly with one wheel. Well, fished around in the trunk and found a coathanger. Mind you now, this was before Duct Tape was invented. Used the coathanger to wrap around and hold the socket in long enough to drive 20 miles home then next day 20 miles back into town to the auto dealer to get replaced. The mechanic could hardly believe I could have made it with that coathanger. Even today, I always have a coathanger and Duct Tape in my trunk. JR
4977	11	37826	450917	448520	reipph	9/27/04 10:13 AM	1.09627998E12	Re: Aww....come on now tell us	Can't remember the brand, just saw it in TV shopping, I will tell you when I see it again, could be X-1R's, didn't try it though, as I said, they claim to be better than any lubricating brand in the market, but a claim is a claim and an advertisement is an advertisement. I am still using WD40 though and they had been used by NASA too. There are many new lubricant brands being advertised now, even X-1R's is a new product (correct me if i am wrong) and history will judge for their effectiveness. LOL.
4977	12	37826	451717	443403	Stan Chambers	9/27/04 6:46 PM	1.09631076E12	Re: WD40?????????? Maybe,	Western Digital 40 GB Hard Drive.
4977	13	37826	457433	443403	T442163	10/1/04 12:21 AM	1.09659006E12	Re: WD40??????????	Finally, something I can talk about. WD-40 is used today as a liquid or spray un-seizing agent for loosening up Rusted or stuck hardware. I use it all the time on the Studebaker Automobiles I drive. However, I was told that the original use for this product goes back to the 1950's. The formula comes from an early US Army missile project. The contractor created the liquid to help prevent cracks & chipping on missile nose cones. I hope this answers your question.
4977	14	37826	457450	443715	Zia	10/1/04 1:23 AM	1.09659378E12	Re: WD40??????????	It stands for Water Displacement - 40 th attempt. That's the name straight out of the lab book used by the chemist who developed WD-40 back in 1953. The chemist, Norm Larsen, was attempting to concoct a formula to prevent corrosion -- a task which is done by displacing water. Norm's persistence paid off when he perfected the formula on his 40th try.
4977	15	37826	457544	457433	Grobnad	10/1/04 3:09 AM	1.09660014E12	Re: WD40??????????	And if any 1 is more curious about it check http://www.wd40.com/
