9276	0	540211	5196787	NR	Lee Koo (ADMIN)	9/2/11 1:43 PM	1.31497098E12	poll buying tablet year	buying tablet year yes why particular maybe whats holding back why already own enjoying
9276	1	540211	5196843	5196787	berkfan	9/2/11 3:25 PM	1.3149771E12	tabletoy	broke down bought ipad must say easier use bed laptop netbook hot fast found really nice app lets set timer go sleep go own playlist enjoy netflix app show preempts reruns office watch tv shows ipad alarm clock app come handy electricity goes use laptop during day home ipad best bedtime traveling buddy
9276	2	540211	5196857	5196787	ESUNintel	9/2/11 3:44 PM	1.31497824E12	already	ltspan style color rgb fontfamily helvetica arial sansserif fontsize px gti already ipad really love theres nothing create documents iwork diagrams omnigraffle manage data filemaker entertain self netflix great games tempted android tablet lately mainly learn development environment come smaller sizes end getting going wait sony tablet mainly compact design looks cool really need mobile broadband tablet go
9276	3	540211	5196883	5196787	CSO703	9/2/11 4:30 PM	1.314981E12	love	bought acer iconia month ago love rick broida post staples offering off coupon tablet he specifically mentioned acer iconia reduced went staples purchased iconia took home charged turned immediately offered free upgrade android response time excellent wifi general love speed sound vivid screen great supplement pc hardly use laptop anymore shortcoming opinion move away network gps coverage note year old retired semitechie yes exist
9276	4	540211	5196911	5196787	cabouche	9/2/11 4:56 PM	1.31498256E12	buying tablet	htc android phone gb micro sd card same tables little smaller screen email casual web surf logmein social networking hd video mp photos music pandora skype gps etc pay year att plan mobility advanced task tablets phones comfortable dual core gbram gb hard drive laptop hp pro book heavy work core gb tb blue ray monitor etc desktop pc clone pc around including windows ultimate build carry big thing time tablet doesnt replace phone almost same mind needs before spend tablet
9276	5	540211	5196905	5196787	mavericke	9/2/11 5:06 PM	1.31498316E12	saving pennies	tablet nicetohave needtohave least admit saw ipad thought those though ill wait most likely either ipad hope samsung galaxy tab might companion android phone planning buy guess thats going take quite few pennies why already scoping accessories durn thing
9276	6	540211	5196943	5196787	Urantiason	9/2/11 5:37 PM	1.31498502E12	nonot yet price performance prohibitive	right novelty tablets driving price processors coming down pike rather wait pay five hundred dollars quadcore tablet dualcore ghz rather buy laptop put kind performance tablet dual booted windows android peace teraneter
9276	7	540211	5196952	5196787	edbrady	9/2/11 6:04 PM	1.31498664E12	need thank	find need run buy latest whizbang obsolete end year due whizbang need tablet smart phone nor gizmos market desktop laptop roku thats enough thank
9276	8	540211	5196960	5196787	canarado	9/2/11 6:05 PM	1.3149867E12	meh	bought ipad big chain pretty whimgot drawn price tag months later rarely use find fits between devices doesnt play roll tech needs mbp staple machine ipods iphone handling portable side things mbp sits lap freeing hands too stuff balances doesnt require adjustments shift around chair full keyboard attached vs screen keyboard ipadnot friendly too type thing find play way games ipad havent done years watching video size handy oh flashthat sucks guess way sum tablets sport utility computer worldcan little bit everything anything perfectly ltdivgt recently got samsung galaxy daily phone must say love how freedom android os too manipulate how runs replace ipad switch too androidltdivgt ltdivgtltdivgt
9276	9	540211	5197000	5196787	CBennett47	9/2/11 7:40 PM	1.3149924E12	yesjust though	yes best deal fit bestwhich ereader light internet browsing few games such looking hp touchpadnook color refurblenovo thats coming near future amazon offering thats supposedly coming challenge nook color
9276	10	540211	5196996	5196787	sbill	9/2/11 8:26 PM	1.31499516E12	hell tabletgimmicky overpriced toy	buy tablet yeah right id sooner spend tv plans either waste money lowpowered limiteduse device thats worthless businessstudent usage incompatible many websites requires pay download socalled apps netbook lowend budget laptop everything tablet plus less half cost oh laptop wont become obsolete overnight model released convinced reason tablets being sold people too easily swayed apples marketing campaign feel need tablet really overpriced status symbol suspect couple years novelty wears off people dumping their ipads craigslist people dumping their netbooks
9276	11	540211	5197044	5196787	robert7200	9/2/11 10:16 PM	1.31500176E12	nt already own ipad	NIL
9276	12	540211	5197035	5196787	jik47	9/2/11 10:31 PM	1.31500266E12	maybe buying tablet	thinking getting tablet keyboard typing holding back seems smartphone typing pecking versus typing keyboard laptop thought sticking laptop tablet seems novelty item present thinking laptop seems functional actually price too high opinion tablet price hp seems right price tablet really functional read versus laptop tablets way too expensive feel reading input tablets hear cnet users subject how others feel prices tablets thank jik
9276	13	540211	5197036	5196787	Bob_Meyer	9/2/11 10:39 PM	1.31500314E12	nook color	nook color nook android dual boot gb microsdhc card find honeycomb later tablet compelling value ill consider getting lenovo amazon tablet neither available us yet short list bob
9276	14	540211	5197247	5196787	dayman	9/3/11 10:09 AM	1.31504454E12	tablet	got flytouch worked third attempt fisrt seemed work sent back refund second doa psu went back third works ok android obviously mobile phone os lot good tablet imho tablet runs windows looks pc laptop rdc logmein work box log network via tablet where ever available too pricey present android real pain
9276	15	540211	5197284	5196787	jodymacy	9/3/11 11:34 AM	1.31504964E12	already ipad	best investment ever made such fan could spokesperson faster boot either desktop laptop instantly check current weather severe radar check email accounts read book feels kindle play games interactive follow recipes learn foreign language etc apprehensive id never dealt apple before researching over year ipad came jumped gig havent come limitations versus bigger ones wifi app store awesome far looked free apps retired dell snob until their products became unreliable own power hp desktop highend laptop buying ipad went bought ipod touch maybe bored retirement products bought mainly toys nothing joys miss flash most web sites smart enough realize apple users customers productivity apps ipad use big boys most daily agenda wont without future
9276	16	540211	5197396	5196787	Brock Tungsten	9/3/11 4:06 PM	1.31506596E12	maybe	maybe until convince myself need technology need use
9276	17	540211	5197438	5196787	rmf	9/3/11 7:15 PM	1.3150773E12	NIL	need
9276	18	540211	5198028	5196787	rosiejim	9/5/11 5:49 AM	1.31520174E12	tablet tablet	looks fad attract usual herd young people must haves feel must subsidise china go ahead nails western nonindstrial coffin lol
9276	19	540211	5198074	5196787	ramoneb29	9/5/11 6:43 AM	1.31520498E12	puccini	sold galaxy tab looking forward release htc puccini couple weeks monthi good reviews side guess someone buy luckily themi really enjoyed though grew interface everything seemed routine wildfire before pretty satisfied sense liking disappear puccini
9276	20	540211	5198227	5196787	lobo65	9/5/11 12:22 PM	1.31522532E12	tablets	refuse buy apple product waiting kind table amazon releases
9276	21	540211	5198285	5196787	bywaterbelle	9/5/11 3:26 PM	1.31523636E12	bought ipad	expectations useful smart phone actually computer merely toy
9276	22	540211	5199059	5196787	john1499	9/7/11 4:20 AM	1.3153692E12	buy tablet year	kindle reading minor surfing need find compelling reason surfing color buy tablet already desktoplaptop phone internet gps fills needs computing power reason need buy tablet
9276	23	540211	5217315	5196787	spencer_harper	10/15/11 5:31 AM	1.31865666E12	ipad	choice ipad read many reviews found peoples choice ipad got lots feature little costly
