10033	0	62465	740687	NR	jimdent	2/4/05 12:48 PM	1.10752128E12	how convert old super mm cd dvd	old years super movies family love cd dvd anyone equipment need order accomplish thanks jim
10033	1	62465	740757	740687	R. Proffitt	2/4/05 1:27 PM	1.10752362E12	forum	subwebaddr items forum already discussed topic bob
10033	2	62465	994207	740687	dba123	2/24/05 8:44 PM	1.10927784E12	provide service	jim save hassle money need special equipment provide service customers web developer silicon valley means email pivotalkbshotmailcom ill quote youyou send tapes ill convert dvd
10033	3	62465	995363	994207	mdsock	2/25/05 8:26 AM	1.10931996E12	misconception	original poster referring super film video tape transfer box usually how available generally find ebay nowehere else projector place image small screen face box hopefully opticalgrade prism reverses image displays face camcorder record film contents works suprisingly care taken equipment good digital model probably facilitate transfer giving best quality camcorder connected firewire port video sent hard drive offhand while recording never try always play back almost camcorder type long firewire port newer models usb need computer usb computer port data rate note file sizes quite large per minute video compared dvds having large drive necessity fortunately drives gb ranges relatively inexpensive analog camcorder digital models analog output video capture device accomplish same thing several models available wide range prices ads dvdxpress works heat issues run extended periods advantage file stored hard drive smaller compared obtained digital camcorder most connect computer through usb work device supports plug pci slot something videostudio pinnalce studio allow author discs having capture capabilities own hardware current versions nero burning rom roxio media creator decent somewhat less flexible software option purchase standalone dvd recorder feed camcorder output directly editing capabilities case stored disc could deal editing later havent talked sound connections how likely films audio remember super although thought option bit tricky depending hardware instances where feed audio directly recording device standalone audio jacks computer audio adapter youll need find way hook projectors sound output digital camcorders pass through capability real time recording impossible projector line outputs need right patch cord speaker outputs worse speaker play volume levels case using patch cord perhaps use microphone next speaker latter noted send done expensive large number reels transfer youre inclined might worth cost services film conversion although were far ubiquitous during time video tapes became popular hope helps
10033	4	62465	995484	740687	John Robie	2/25/05 8:58 AM	1.10932188E12	re convert old super mm	notice none references actually answered specific questionjust kinda glossed over off old super movies need converted vhs video tape images taken digital camcorder transferred powerful pc large ram firewire ieee adapter homemakedo converted many dozens hours mm super mm mm film vhs video tape myself friendsrelatives seems lot mm film cost fortune commercially converted vhs dvd st need projector project film particular mmi each type splicing ft etc reels together large capacity reels set video camera camcorder tripod take videos projected images type screen large screen normally viewing ideal causing grainy pictures purchased different types commercial projector setups screen though good clarity old discarded box screen experiment different materials screen project small image clarity eventually throw away type box glossy white projected aprx inch image recorded video cameras camera recording transfer vhs recorder rca svhs cable connection vhs tape using camcorder firewire pc firewire follow instructions converting vhs camera images dvd course commercial converters mm mm film dvd sophisticated equipment cost pretty penny
10033	5	62465	995571	995363	John Robie	2/25/05 9:19 AM	1.10932314E12	re sound	hi read good post before making mine sound different mm mm movie films converted vhs years ago film connect mike vhs recorder film transferred recorder narrate music large hi fi dolby system playing background others using different music editingpause while switching music era times recall using old glen miller carpenters music along frank sinatra elvis etc
10033	6	62465	1037854	740687	johndk	3/12/05 1:00 PM	1.1106324E12	convert super dvd video	buy box where project old film way old projector side set video camera side film movie use fire wire connector video camera gig hard drive computer pinnacle studio version running capture mode once studio captured edit hearts content output either dvd video tape hope helps john bilpin australia
10033	7	62465	1037894	1037854	John Robie	3/12/05 1:18 PM	1.11063348E12	excellent john	except purchased box type describe good small homemade cut piece glossy cardboard screen bring clearer nongranny immage captured camcorder
10033	8	62465	1045239	1037894	johndk	3/15/05 11:46 AM	1.11088716E12	glossy cardboard	john robie thanks tip piece glossy cardboard tried piece white melamine mm board works purchased box regards john keeble
10033	9	62465	1053229	1045239	pswiderski	3/18/05 9:20 AM	1.1111376E12	tell cardboard process please	information post exactly looking thanks question cardboard process assume process needs take place dark room issues angle video recorder projector try close possible each angle isnt noticable
10033	10	62465	1053315	1053229	John Robie	3/18/05 9:47 AM	1.11113922E12	home made conversion	johndk indicates white melamine white glossy card board work good white glossy plastic should work yes projector filming done almost dark room projector few feet away showing small square image try several distances size image using manual zoom camera clearest quality naturally camcorder slightly off center tell final production vhs sold store bought box converter neighbors garage sale gave relative who didnt
