14819	0	100591	1156165	NR	charazia	4/26/05 9:56 PM	1.11455256E12	help build dream machine	help build dream machine please part final project
14819	1	100591	1156186	1156165	damasta55r	4/26/05 10:17 PM	1.11455382E12	re build own	aspire xdreamer ii atxb klwal silver steel atx mid tower computer case power supply antec smartpower sp atx power supply ul tuv cb fcc class cul asus ve deluxe socket via atx amd motherboard amd athlon micron retail boxwfan thermaltake mm ball sleeve blue led light cooling fan corsair xms gb pin ddr sdram ddr pc system memory model cmx re maxtor gb rpm sata hard drive model oem drive thermaltake sata cable limitedtime offer rosewill rb white ide combo dvdcdrw drive microsoft windows xp home wservice pack evga gt mb ddr pcietvoutdualdvi mitsumi usb digital card readerwriter wfd internal model fa logitech cooler master khcl mm ball cooling fanheatsink arctic silver premium photosynthetic silver thermal compound arctic silver creative blaster modem sound blaster audigy zs logitech logitech cordless desktop ex black normal keys function keys ps wireless type standard keyboard mouse included total without monitor already speakers keyboard decrease price modem necessary case psu changed accordingly add case lights etc prices newegg prices roger
14819	2	100591	1157451	1156165	jrmar07	4/27/05 2:19 PM	1.11461154E12	doityourself	cnet online course build own pc link left under online courses budget type system components neweggcom
14819	3	100591	1157563	1157451	cv4stm	4/27/05 3:17 PM	1.11461502E12	go	pc hardware section site look thread abotu building best machinethen look ozos madethats good gets
14819	4	100591	1157584	1157563	ozos	4/27/05 3:28 PM	1.11461568E12	NIL	building dream machine question gonna use suggest hardware
14819	5	100591	1157636	1156165	John Robie	4/27/05 3:49 PM	1.11461694E12	dream	info check gaming builders shown feel components fill dream machine go subwebaddr computer costing practical unless making figure impress friends currently sli dual graphic card systems eat alienware dell velocity micro started april selling desktop pcs workstations based intels dualcore processorbased platform intel pentium processor extreme edition priced around intel express chipset priced around
14819	6	100591	1157703	1157584	cv4stm	4/27/05 4:35 PM	1.1146197E12	ya	he said dream machine brought
14819	7	100591	1157706	1157636	cv4stm	4/27/05 4:36 PM	1.11461976E12	man	dad pulls figures their way hell he buy comp thati happy he put towards
14819	8	100591	1158012	1156165	balert	4/27/05 8:08 PM	1.11463248E12	systems barebone	subwebaddr barebone systems might help lists products newegg others build according their specs
14819	9	100591	1160027	1158012	zxcvb531	4/29/05 1:34 AM	1.11473844E12	deal dell cheaper	how build computers need check prices sometimes cheaper buy brand name best dell cases mb uses deals especially month giving alot away free printer lcd companies pain add hardware harddrives whose motherboard plus cases small pain take apart need parts cheap match brand name os nothing brought dell different computers couldnt build price got got dimension intel motherboard intel chipset matrix raid onboard brought homexpintel made socket matrix raid intel cpu meg ram gb sata drive cdrom ati meg pcie video card nic ultrasharp lcd ms refresh dell printer plan sell gb sata drive replace either nvidia gt ati video card turn raid put gb sata drives soundblaster audigy platinum dvd dual layer burners less windows media center intel cpu meg ram gb sata drivesoundblaster audigy meg nvidia gt dvdrom dvd dual layer burner modem nicand year warranty missed xps generation intel gb ramaudigy meg nvidia gt pcie video xdvd dual layer burner gb sata drives parts along cost without os
14819	10	100591	1161747	1160027	ozos	4/29/05 4:28 PM	1.11479208E12	depending where buy andbtw	dells mbs lowest quality their cases equal their psus while decent allow upgradeability put hard drive machine ide device far grpahics same way dell horrible company give zero upgradeability few agp slots bad bios bad ram bad cooling
14819	11	100591	1161823	1161747	John Robie	4/29/05 5:19 PM	1.11479514E12	hmmm	opinion ozos perhaps come across past later dells imo especially series xps series along xps pciexpress capabilities instead upgrade cooling ok their bigger case ram adequate imo dell coming intel dual processors recently reported
14819	12	100591	1163373	1161823	ozos	4/30/05 5:49 PM	1.11488334E12	yes talking dells though	talking low end dells xps gen something amazingly expensive friend got their expensive beyond belief getyuck wasl ike features slower gpu comparable cpu system around mean seriouslydells low end junk upgrades bad bios their high end over priced
14819	13	100591	1163737	1163373	John Robie	5/1/05 12:54 AM	1.11490884E12	soyou need yourselfseriously	friend telling amazingly expensive dell starts free shipping configured free shipping pent processor em ghz ht tech fsb ram gb ddr sdram mhz printer dual drives dvdrom dvdre wdbl layer write capability video card mb pci express nvidia geforce ieee firewire dell speakers keyboard mouse crt months america online membership included dell jukebox easytouse music player cd burning software adobe acrobat reader corel word perfect word processor pci datafax modem integrated gigabit ethernet same ghz ghz subwebaddr xps gen gamer starts same features ghz however imo buy money subwebaddr evalue code configuration available subwebaddr
