12287	0	139808	1570071	NR	roach2	11/29/05 2:18 PM	1.13327388E12	everyone come help please	extreme gamer umm buy pc witch best brand dell nec gateway compaq etc
12287	1	139808	1570189	1570071	nerdyboy1234	11/29/05 3:22 PM	1.13327772E12	nonebuild own	choose those go gateway look their fx series offer
12287	2	139808	1570908	1570071	AMDrules	11/29/05 7:53 PM	1.13329398E12	dell hp overcharge give crap	why learn build own too hard exactly need how carefully assemble
12287	3	139808	1570977	1570071	Eddiefromalienwarecomps	11/29/05 8:24 PM	1.13329584E12	save yourself headache building own pc	encourage build own pc sometime life hey clue how build own system sometimes might wrong hardware might put somethimg wrong etc guy cnet desktop forum his post who made post he built his own computer might blown something anything computers build learn computers try companies sell gaming machines click link subwebaddr post made before companies gaming rigs voodoo mention post course customize liking choose faster graphics card instead faster processor etc gamer most dollar say dell xps friend got amazing how hardware logitech speakers gpus inch lcd monitor tv tuner card mce terabyte hard drive space
12287	4	139808	1571118	1570977	damasta55r	11/29/05 10:06 PM	1.13330196E12	btw those companies arent reliable	computer shopper produced cnet wouldnt buy bad stories roger
12287	5	139808	1571181	1571118	Eddiefromalienwarecomps	11/29/05 11:05 PM	1.1333055E12	fine reliable	bought systems monarch velocity micro hypersonic rest high end gaming systems roach wants wont high end system compaq builders such falcon northwest extremely reliable company friend problem his optical drives he sent back got fixed within week never bought overdrive their systems top notch read tons magazine articles commenting overdrive their overclocking keeping everything stable same time
12287	6	139808	1573450	1571181	damasta55r	11/30/05 10:30 PM	1.1333898E12	re	monarch fine twice falcon northwest velocity micro hypersonic though roger
12287	7	139808	1637169	1573450	ddbpack	12/30/05 6:53 PM	1.13596878E12	buy power	buy power
12287	8	139808	1637259	1637169	Eddiefromalienwarecomps	12/30/05 7:58 PM	1.13597268E12	mixed	deliver best bang buck pcs alot mean alot buy their systems least really high end ones check link leads ibuypowers high end desktops comes hardware problem ibuypower terrible customer support read where people were frustrated ibuypowers customer service tech support subwebaddr
12287	9	139808	1637858	1637259	ikjadoon	12/31/05 8:58 AM	1.13601948E12	ibuypower opc	overdrive going making next pc buy actually seems bang buck prices steep looks opc deliver every single review read theirs perfect score hear tech support awesome look rating reviews subwebaddr take look ibuypower subwebaddr price ibuypower hard beat point cheap yet highend computer thats purpose foot rest ibrahim
12287	10	139808	1637860	1637858	ikjadoon	12/31/05 9:00 AM	1.1360196E12	add	cyberpowers review subwebaddr
12287	11	139808	1638150	1637858	Eddiefromalienwarecomps	12/31/05 11:53 AM	1.13602998E12	opc	young cousin who got pc opc high quality tech suppot who actually help learned alot fom technicians
12287	12	139808	1638196	1638150	ikjadoon	12/31/05 12:25 PM	1.1360319E12	yes gem computer business	sometimes hard find people who knowledable hope funds wont close
12287	13	139808	1638212	1638196	Eddiefromalienwarecomps	12/31/05 12:35 PM	1.1360325E12	nt nt falcon northwest good	NIL
